id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
column_1/line_022,page_0400,1,0.16666666666666666,0.16666666666666666,6,1,0,0,False,True,Խաչին։,ձաչին։,ձաչին։
column_2/line_007,page_0400,2,0.11538461538461539,0.11538461538461539,26,2,1,0,False,True,Փրկութիւն արդարոց ՚ի տեառ-,Փրկութիւն սրդարոց՝ի տեառ-,Փրկութիւն սրդարոց՝ի տեառ-
column_1/line_010,page_0400,1,0.1111111111111111,0.1111111111111111,9,1,0,0,False,True,Գալստեան։,Գայստեան։,Գայստեան։
column_1/line_012,page_0400,1,0.07407407407407407,0.07407407407407407,27,2,0,0,False,True,"տեառն, օրհնեալ որ գալոց ես։","սեառն, օրհնեալ որ գաղոց ես։","սեառն, օրհնեալ որ գաղոց ես։"
column_1/line_005,page_0400,1,0.06666666666666667,0.06666666666666667,15,1,0,0,False,True,խաշին յովսեփու։,խաշին յովսեկու։,խաշին յովսեկու։
column_1/line_009,page_0400,1,0.0625,0.0625,16,0,1,0,False,True,՚ի մուտս արեւու։,՚իմուտս արեւու։,՚իմուտս արեւու։
column_2/line_025,page_0400,2,0.045454545454545456,0.045454545454545456,22,1,0,0,False,False,Խոստովան եղիցին երկինք,Եոստովան եղիցին երկինք,Եոստովան եղիցին երկինք
column_1/line_023,page_0400,1,0.041666666666666664,0.041666666666666664,24,1,0,0,False,False,Ետուր երկիւղածաց քոց նը-,Ետուր երկիւշածաց քոց նը-,Ետուր երկիւշածաց քոց նը-
column_2/line_003,page_0400,2,0.041666666666666664,0.041666666666666664,24,1,0,0,True,True,"Ցնծացէք, արդարք, ՚ի տէր.","Յնծացէք, արդարք, ՚ի տէր.","Յնծացէք, արդարք, ՚ի տէր."
column_1/line_003,page_0400,1,0.04,0.04,25,0,1,0,False,True,Որ հովուեսդ իսրայելի՝ նա-,Որ հովուեսդ իսրայելի նա-,Որ հովուեսդ իսրայելի նա-
column_1/line_026,page_0400,1,0.04,0.04,25,1,0,0,False,False,"Որպէս փրկեցան սիրելիք քո,","Որպէս տրկեցան սիրելիք քո,","Որպէս տրկեցան սիրելիք քո,"
