id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
column_2/line_011,page_0499_human,2,0.3076923076923077,0.3076923076923077,13,0,0,4,False,True,այնպէս խօսիմ։,ատտտայնպէս խօսիմ։,ատտտայնպէս խօսիմ։
column_2/line_019,page_0499_human,2,0.15384615384615385,0.15384615384615385,13,1,0,1,False,True,հարցանել ցնա։,ոաորցանել ցնա։,ոաորցանել ցնա։
column_2/line_025,page_0499_human,2,0.12903225806451613,0.12903225806451613,31,3,0,1,True,True,Ճաշու շարական աձ. Որ համբաձաւն։,Ցաչու չարական աձ. Որ համբարձաւն։,Ցաչու չարական աձ. Որ համբարձաւն։
column_1/line_036,page_0499_human,1,0.125,0.125,16,0,0,2,False,True,զփառսն աստուծոյ։,զզափառսն աստուծոյ։,զզափառսն աստուծոյ։
column_2/line_015,page_0499_human,2,0.11764705882352941,0.11764705882352941,34,3,0,1,True,True,կինս. Յելանելն։ Հմբ. դձ. Որք տնկա-,կինս. Յելսնելն։ Հմը. դգ3. Որք տնկա-,կինս. Յելսնելն։ Հմը. դգ3. Որք տնկա-
column_1/line_003,page_0499_human,1,0.09090909090909091,0.09090909090909091,33,3,0,0,True,False,ժ. 46. Եւ գան յերիքով. վ. ԺԱ. 11.,Ժ. 45. Եւ գան յերիքով. վ. ժԱ. 11.,Ժ. 45. Եւ գան յերիքով. վ. ժԱ. 11.
column_1/line_004,page_0499_human,1,0.09090909090909091,0.09090909090909091,22,1,0,1,False,True,երկոտասանիւքն հանդերձ։,ոերկոսասանիւքն հանդերձ։,ոերկոսասանիւքն հանդերձ։
column_1/line_009,page_0499_human,1,0.08823529411764706,0.08823529411764706,34,3,0,0,True,True,աձ. Որ համբարձաւն։ Սաղ. ՃԼ Տէր ոչ.,ա). Որ համբարձաւն։ Սաղ. ## Տէր ոչ.,ա). Որ համբարձաւն։ Սաղ. ## Տէր ոչ.
column_2/line_044,page_0499_human,2,0.08333333333333333,0.08333333333333333,36,3,0,0,True,True,"վ. 38. լսել ՚ի նմանէ։ Ճաշու շարական,","վ. 38. լսել 'ի նմանէ։ Ճաչու չարական,","վ. 38. լսել 'ի նմանէ։ Ճաչու չարական,"
column_1/line_044,page_0499_human,1,0.07692307692307693,0.07692307692307693,13,0,0,1,False,True,մացան ընդ նա։,մմացան ընդ նա։,մմացան ընդ նա։
column_1/line_008,page_0499_human,1,0.06451612903225806,0.06451612903225806,31,2,0,0,True,True,վ. 8. առնեմ զայս։ Ճաշու շարական,վ. 8. առնեմ զայս։ Ճաչու չարական,վ. 8. առնեմ զայս։ Ճաչու չարական
