id,column,ref_len,cer_baseline,cer_corrected,delta,applied,worse,ref,pred_beam,corrected
column_1/line_001,1,28,0.0000,0.0000,0.0000,True,False,Ալէլուք Յարութեանն Քրիստոսի։,Ալէլուք Յարութեանն Քրիստոսի։,Ալէլուք Յարութեանն Քրիստոսի։
column_1/line_002,1,24,0.0000,0.0000,0.0000,True,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_1/line_003,1,21,0.0000,0.0000,0.0000,True,False,Ողորմութեամբ տեառն լի,Ողորմութեամբ տեառն լի,Ողորմութեամբ տեառն լի
column_1/line_004,1,24,0.0000,0.0000,0.0000,True,False,"եղեւ երկիր, և բանիւ տեա-","եղեւ երկիր, և բանիւ տեա-","եղեւ երկիր, և բանիւ տեա-"
column_1/line_005,1,22,0.0000,0.0000,0.0000,True,False,ռըն երկինք հաստատեցան։,ռըն երկինք հաստատեցան։,ռըն երկինք հաստատեցան։
column_1/line_006,1,22,0.0000,0.0000,0.0000,True,False,Եւ հոգւով բերանոյ նորա,Եւ հոգւով բերանոյ նորա,Եւ հոգւով բերանոյ նորա
column_1/line_007,1,24,0.0000,0.0000,0.0000,True,False,ամենայն զօրութիւնք նոցա։,ամենայն զօրութիւնք նոցա։,ամենայն զօրութիւնք նոցա։
column_1/line_009,1,22,0.0000,0.0000,0.0000,True,False,Ալէ. Յարեաւ աստուած եւ,Ալէ. Յարեաւ աստուած եւ,Ալէ. Յարեաւ աստուած եւ
column_1/line_010,1,22,0.0000,0.0000,0.0000,True,False,ցրուեցան ամենայն թշնա-,ցրուեցան ամենայն թշնա-,ցրուեցան ամենայն թշնա-
column_1/line_011,1,23,0.0000,0.0000,0.0000,True,False,միք նորա։ Փախեան ատելիք,միք նորա։ Փախեան ատելիք,միք նորա։ Փախեան ատելիք
column_1/line_012,1,18,0.0000,0.0000,0.0000,True,False,նորա յերեսաց նորա։,նորա յերեսաց նորա։,նորա յերեսաց նորա։
column_1/line_013,1,21,0.0000,0.0000,0.0000,True,False,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ
column_1/line_014,1,23,0.0000,0.0000,0.0000,True,False,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.
column_1/line_016,1,24,0.0000,0.0000,0.0000,True,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_1/line_017,1,23,0.1304,0.0000,-0.1304,True,False,"Ծափս հարէք, ամենայն հե-","Մակիս հարէք, ամենայն հե-","Ծափս հարէք, ամենայն հե-"
column_1/line_018,1,21,0.0000,0.0000,0.0000,True,False,թանոսք. աղաղակեցէք առ,թանոսք. աղաղակեցէք առ,թանոսք. աղաղակեցէք առ
column_1/line_020,1,23,0.0000,0.0000,0.0000,True,False,աստուած ՚ի ձայն ցընծու-,աստուած ՚ի ձայն ցընծու-,աստուած ՚ի ձայն ցընծու-
column_1/line_022,1,21,0.0000,0.0000,0.0000,True,False,թեան։ Տէր բարձրեալ եւ,թեան։ Տէր բարձրեալ եւ,թեան։ Տէր բարձրեալ եւ
column_1/line_023,1,23,0.0000,0.0000,0.0000,True,False,"ահարկու, թագաւոր մեծ ՚ի","ահարկու, թագաւոր մեծ ՚ի","ահարկու, թագաւոր մեծ ՚ի"
column_1/line_024,1,20,0.0000,0.0000,0.0000,True,False,վերայ ամենայն երկրի։,վերայ ամենայն երկրի։,վերայ ամենայն երկրի։
column_1/line_025,1,22,0.0000,0.0000,0.0000,True,False,"Ալէ. Հաճեցար, տէր, ընդ","Ալէ. Հաճեցար, տէր, ընդ","Ալէ. Հաճեցար, տէր, ընդ"
column_1/line_026,1,22,0.0000,0.0000,0.0000,True,False,"երկիր քո, եւ դարձուցեր","երկիր քո, եւ դարձուցեր","երկիր քո, եւ դարձուցեր"
column_1/line_028,1,23,0.0000,0.0000,0.0000,True,False,զգերութիւն յակոբայ։ Թո-,զգերութիւն յակոբայ։ Թո-,զգերութիւն յակոբայ։ Թո-
column_1/line_029,1,23,0.0000,0.0000,0.0000,True,False,ղեր զանիրաւութիւն ժողո-,ղեր զանիրաւութիւն ժողո-,ղեր զանիրաւութիւն ժողո-
column_1/line_030,1,23,0.0435,0.0435,0.0000,True,False,"վրդեան քոյ, եւ ծածկեցեր","վբրդեան քոյ, եւ ծածկեցեր","վըրդեան քոյ, եւ ծածկեցեր"
column_1/line_031,1,20,0.0000,0.0000,0.0000,True,False,զամենայն մեղըս նոցա։,զամենայն մեղըս նոցա։,զամենայն մեղըս նոցա։
column_1/line_032,1,21,0.0000,0.0000,0.0000,True,False,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ
column_1/line_033,1,22,0.0000,0.0000,0.0000,True,False,եւ միշտ. Ալէլուա. ալէ.,եւ միշտ. Ալէլուա. ալէ.,եւ միշտ. Ալէլուա. ալէ.
column_2/line_001,2,24,0.0000,0.0000,0.0000,True,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_2/line_002,2,21,0.0000,0.0000,0.0000,True,False,Յարեաւ աստուած եւ ցը-,Յարեաւ աստուած եւ ցը-,Յարեաւ աստուած եւ ցը-
column_2/line_004,2,23,0.0000,0.0000,0.0000,True,False,րուեցան ամենայն թշնամիք,րուեցան ամենայն թշնամիք,րուեցան ամենայն թշնամիք
column_2/line_006,2,23,0.0000,0.0000,0.0000,True,False,նորա։ Փախեան ատելիք նո-,նորա։ Փախեան ատելիք նո-,նորա։ Փախեան ատելիք նո-
column_2/line_007,2,16,0.0000,0.0000,0.0000,True,False,րա յերեսաց նորա։,րա յերեսաց նորա։,րա յերեսաց նորա։
column_2/line_008,2,24,0.0000,0.0000,0.0000,True,False,"Ալէ. Տէր թագաւորեաց, վա-","Ալէ. Տէր թագաւորեաց, վա-","Ալէ. Տէր թագաւորեաց, վա-"
column_2/line_010,2,24,0.0000,0.0000,0.0000,True,False,յելչութիւն ըզգեցաւ։ Զգե-,յելչութիւն ըզգեցաւ։ Զգե-,յելչութիւն ըզգեցաւ։ Զգե-
column_2/line_012,2,21,0.0000,0.0000,0.0000,True,False,ցաւ տէր զօրութիւն ընդ,ցաւ տէր զօրութիւն ընդ,ցաւ տէր զօրութիւն ընդ
column_2/line_013,2,12,0.0000,0.0000,0.0000,True,False,մէջ իւր էած։,մէջ իւր էած։,մէջ իւր էած։
column_2/line_014,2,21,0.0000,0.0000,0.0000,True,False,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ
column_2/line_015,2,23,0.0000,0.0000,0.0000,True,False,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.
column_2/line_018,2,24,0.0000,0.0000,0.0000,True,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_2/line_019,2,23,0.0000,0.0000,0.0000,True,False,"Հաճեցար, տէր, ընդ երկիր","Հաճեցար, տէր, ընդ երկիր","Հաճեցար, տէր, ընդ երկիր"
column_2/line_020,2,24,0.0000,0.0000,0.0000,True,False,"քո, եւ դարձուցեր զգերու-","քո, եւ դարձուցեր զգերու-","քո, եւ դարձուցեր զգերու-"
column_2/line_021,2,23,0.0000,0.0000,0.0000,True,False,թիւն յակոբայ։ Թողեր զա-,թիւն յակոբայ։ Թողեր զա-,թիւն յակոբայ։ Թողեր զա-
column_2/line_022,2,22,0.0000,0.0000,0.0000,True,False,նիրաւութիւն ժողովրդեան,նիրաւութիւն ժողովրդեան,նիրաւութիւն ժողովրդեան
column_2/line_023,2,24,0.0000,0.0000,0.0000,True,False,"քոյ, և ծածկեցեր զամենայն","քոյ, և ծածկեցեր զամենայն","քոյ, և ծածկեցեր զամենայն"
column_2/line_024,2,11,0.0000,0.0000,0.0000,True,False,մեղըս նոցա։,մեղըս նոցա։,մեղըս նոցա։
column_2/line_026,2,24,0.0000,0.0000,0.0000,True,False,"Ալէ. Օրհնեցէք, մանկունք,","Ալէ. Օրհնեցէք, մանկունք,","Ալէ. Օրհնեցէք, մանկունք,"
column_2/line_027,2,24,0.0000,0.0000,0.0000,True,False,զտէր. և օրհնեցէք զանունն,զտէր. և օրհնեցէք զանունն,զտէր. և օրհնեցէք զանունն
column_2/line_028,2,23,0.0000,0.0000,0.0000,True,False,տեառն։ Եղիցի անուն տեա-,տեառն։ Եղիցի անուն տեա-,տեառն։ Եղիցի անուն տեա-
column_2/line_029,2,23,0.0000,0.0000,0.0000,True,False,ռըն օրհնեալ՝ յայսմ հետէ,ռըն օրհնեալ՝ յայսմ հետէ,ռըն օրհնեալ՝ յայսմ հետէ
column_2/line_030,2,16,0.0000,0.0000,0.0000,True,False,մինչեւ յաւիտեան։,մինչեւ յաւիտեան։,մինչեւ յաւիտեան։
column_2/line_031,2,21,0.0000,0.0000,0.0000,True,False,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ
column_2/line_032,2,23,0.0000,0.0000,0.0000,True,False,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.
column_2/line_035,2,24,0.0000,0.0000,0.0000,True,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_2/line_036,2,22,0.0000,0.0000,0.0000,True,False,"Տէր թագաւորեաց, վայել-","Տէր թագաւորեաց, վայել-","Տէր թագաւորեաց, վայել-"
column_2/line_037,2,23,0.0000,0.0000,0.0000,True,False,չութիւն ըզգեցաւ։ Զգեցաւ,չութիւն ըզգեցաւ։ Զգեցաւ,չութիւն ըզգեցաւ։ Զգեցաւ
column_2/line_038,2,21,0.0000,0.0000,0.0000,True,False,տէր զօրութիւն ընդ մէջ,տէր զօրութիւն ընդ մէջ,տէր զօրութիւն ընդ մէջ
