id,column,ref_len,cer_baseline,cer_corrected,delta,applied,worse,ref,pred_beam,corrected
column_1/line_001,1,26,0.0000,0.0000,0.0000,False,False,"մարդոյ, զոր զօրացուցեր ըզ-","մարդոյ, զոր զօրացուցեր ըզ-","մարդոյ, զոր զօրացուցեր ըզ-"
column_1/line_002,1,10,0.0000,0.0000,0.0000,False,False,նա ՚ի քեզ։,նա ՚ի քեզ։,նա ՚ի քեզ։
column_1/line_003,1,25,0.0400,0.0400,0.0000,False,False,Որ հովուեսդ իսրայելի՝ նա-,Որ հովուեսդ իսրայելի նա-,Որ հովուեսդ իսրայելի նա-
column_1/line_004,1,25,0.0000,0.0000,0.0000,False,False,"յեաց, որ առաջնորդես որպէս","յեաց, որ առաջնորդես որպէս","յեաց, որ առաջնորդես որպէս"
column_1/line_005,1,15,0.0667,0.0000,-0.0667,True,False,խաշին յովսեփու։,խաշին յովսեկու։,խաշին յովսեփու։
column_1/line_006,1,20,0.0000,0.0000,0.0000,False,False,Աստուած աստուծոց տէր,Աստուած աստուծոց տէր,Աստուած աստուծոց տէր
column_1/line_007,1,25,0.0000,0.0000,0.0000,False,False,"խօսեցաւ, և կոչեաց զերկիր։","խօսեցաւ, և կոչեաց զերկիր։","խօսեցաւ, և կոչեաց զերկիր։"
column_1/line_008,1,22,0.0000,0.0000,0.0000,False,False,Յելիցն արեգական մինչեւ,Յելիցն արեգական մինչեւ,Յելիցն արեգական մինչեւ
column_1/line_009,1,16,0.0625,0.0625,0.0000,False,False,՚ի մուտս արեւու։,՚իմուտս արեւու։,՚իմուտս արեւու։
column_1/line_010,1,9,0.1111,0.0000,-0.1111,True,False,Գալստեան։,Գայստեան։,Գալստեան։
column_1/line_011,1,21,0.0000,0.0000,0.0000,False,False,Օրհնեալ որ գաս յանուն,Օրհնեալ որ գաս յանուն,Օրհնեալ որ գաս յանուն
column_1/line_012,1,27,0.0741,0.0000,-0.0741,True,False,"տեառն, օրհնեալ որ գալոց ես։","սեառն, օրհնեալ որ գաղոց ես։","տեառն, օրհնեալ որ գալոց ես։"
column_1/line_013,1,22,0.0000,0.0000,0.0000,False,False,Տէր աստուած մեր երեւե-,Տէր աստուած մեր երեւե-,Տէր աստուած մեր երեւե-
column_1/line_014,1,24,0.0000,0.0000,0.0000,False,False,ցաւ մեզ. արարէք տօնս ու-,ցաւ մեզ. արարէք տօնս ու-,ցաւ մեզ. արարէք տօնս ու-
column_1/line_015,1,22,0.0000,0.0000,0.0000,False,False,"րախութեան կանխաւ, մին-","րախութեան կանխաւ, մին-","րախութեան կանխաւ, մին-"
column_1/line_016,1,21,0.0000,0.0000,0.0000,False,False,չեւ յանկիւնս սեղանոյ։,չեւ յանկիւնս սեղանոյ։,չեւ յանկիւնս սեղանոյ։
column_1/line_017,1,10,0.0000,0.0000,0.0000,False,False,Եկեղեցւոյ։,Եկեղեցւոյ։,Եկեղեցւոյ։
column_1/line_018,1,24,0.0000,0.0000,0.0000,False,False,Աստ օրհնեցէք ամենայն ծա-,Աստ օրհնեցէք ամենայն ծա-,Աստ օրհնեցէք ամենայն ծա-
column_1/line_019,1,16,0.0000,0.0000,0.0000,False,False,ռայք տեառն զտէր։,ռայք տեառն զտէր։,ռայք տեառն զտէր։
column_1/line_020,1,25,0.0000,0.0400,0.0400,True,True,"Ո կայք ՚ի տան տեառն, և ՚ի","Ո կայք ՚ի տան տեառն, և ՚ի","Որ կայք ՚ի տան տեառն, և ՚ի"
column_1/line_021,1,22,0.0000,0.0000,0.0000,False,False,գաւիթս աստուծոյ մերոյ։,գաւիթս աստուծոյ մերոյ։,գաւիթս աստուծոյ մերոյ։
column_1/line_022,1,6,0.1667,0.0000,-0.1667,True,False,Խաչին։,ձաչին։,Խաչին։
column_1/line_023,1,24,0.0417,0.0000,-0.0417,True,False,Ետուր երկիւղածաց քոց նը-,Ետուր երկիւշածաց քոց նը-,Ետուր երկիւղածաց քոց նը-
column_1/line_024,1,24,0.0000,0.0000,0.0000,False,False,"շան, զի ապրեսցին յերեսաց","շան, զի ապրեսցին յերեսաց","շան, զի ապրեսցին յերեսաց"
column_1/line_025,1,7,0.0000,0.0000,0.0000,False,False,աղեղան։,աղեղան։,աղեղան։
column_1/line_026,1,25,0.0400,0.0000,-0.0400,True,False,"Որպէս փրկեցան սիրելիք քո,","Որպէս տրկեցան սիրելիք քո,","Որպէս փրկեցան սիրելիք քո,"
column_1/line_027,1,24,0.0000,0.0000,0.0000,False,False,կեցո աջով քո և լուր մեզ։,կեցո աջով քո և լուր մեզ։,կեցո աջով քո և լուր մեզ։
column_1/line_028,1,10,0.0000,0.0000,0.0000,False,False,Կիրակամտի։,Կիրակամտի։,Կիրակամտի։
column_1/line_029,1,25,0.0000,0.0000,0.0000,False,False,Սիրեցի՝ զի լուիցէ տէր ըզ-,Սիրեցի՝ զի լուիցէ տէր ըզ-,Սիրեցի՝ զի լուիցէ տէր ըզ-
column_1/line_030,1,17,0.0000,0.0000,0.0000,False,False,ձայն աղօթից իմոց։,ձայն աղօթից իմոց։,ձայն աղօթից իմոց։
column_1/line_031,1,25,0.0000,0.0000,0.0000,False,False,Զի խոնարհեցոյց զունկն իւր,Զի խոնարհեցոյց զունկն իւր,Զի խոնարհեցոյց զունկն իւր
column_1/line_032,1,23,0.0000,0.0000,0.0000,False,False,"առ իս, եւ ես յաւուրս իմ","առ իս, եւ ես յաւուրս իմ","առ իս, եւ ես յաւուրս իմ"
column_1/line_033,1,14,0.0000,0.0000,0.0000,False,False,կարդացի առ նա։,կարդացի առ նա։,կարդացի առ նա։
column_1/line_034,1,11,0.0000,0.0000,0.0000,False,False,Մարտիրոսաց։,Մարտիրոսաց։,Մարտիրոսաց։
column_1/line_035,1,26,0.0000,0.0000,0.0000,False,False,"Եղիցի ողորմութիւն քո, տէր,","Եղիցի ողորմութիւն քո, տէր,","Եղիցի ողորմութիւն քո, տէր,"
column_2/line_001,2,24,0.0000,0.0000,0.0000,False,False,՚ի վերայ մեր. որպէս յու-,՚ի վերայ մեր. որպէս յու-,՚ի վերայ մեր. որպէս յու-
column_2/line_002,2,13,0.0000,0.0000,0.0000,False,False,սացաք ՚ի քեզ։,սացաք ՚ի քեզ։,սացաք ՚ի քեզ։
column_2/line_003,2,24,0.0417,0.0000,-0.0417,True,False,"Ցնծացէք, արդարք, ՚ի տէր.","Յնծացէք, արդարք, ՚ի տէր.","Ցնծացէք, արդարք, ՚ի տէր."
column_2/line_004,2,25,0.0400,0.0400,0.0000,False,False,ուղղոց վայելէ օրհնութիւն։,ուղղոց վայել է օրհնութիւն։,ուղղոց վայել է օրհնութիւն։
column_2/line_005,2,28,0.0000,0.0000,0.0000,False,False,"Տէր սիրէ զիրաւունս, և ոչ ընդ","Տէր սիրէ զիրաւունս, և ոչ ընդ","Տէր սիրէ զիրաւունս, և ոչ ընդ"
column_2/line_006,2,25,0.0000,0.0000,0.0000,False,False,վայր հարկանէ զսուրբս իւր։,վայր հարկանէ զսուրբս իւր։,վայր հարկանէ զսուրբս իւր։
column_2/line_007,2,26,0.1154,0.0000,-0.1154,True,False,Փրկութիւն արդարոց ՚ի տեառ-,Փրկութիւն սրդարոց՝ի տեառ-,Փրկութիւն արդարոց ՚ի տեառ-
column_2/line_008,2,25,0.0000,0.0000,0.0000,False,False,նէ է. վերակացու է նոցա ՚ի,նէ է. վերակացու է նոցա ՚ի,նէ է. վերակացու է նոցա ՚ի
column_2/line_009,2,19,0.0000,0.0000,0.0000,False,False,ժամանակս նեղութեան։,ժամանակս նեղութեան։,ժամանակս նեղութեան։
column_2/line_010,2,25,0.0000,0.0000,0.0000,False,False,Սքանչելի է աստուած ՚ի վե-,Սքանչելի է աստուած ՚ի վե-,Սքանչելի է աստուած ՚ի վե-
column_2/line_011,2,24,0.0000,0.0000,0.0000,False,False,"րայ սրբոց իւրոց, աստուած","րայ սրբոց իւրոց, աստուած","րայ սրբոց իւրոց, աստուած"
column_2/line_012,2,9,0.0000,0.0000,0.0000,False,False,իսրայելի։,իսրայելի։,իսրայելի։
column_2/line_013,2,25,0.0000,0.0000,0.0000,False,False,"Տէր աստուած օրհնեալ, օրհ-","Տէր աստուած օրհնեալ, օրհ-","Տէր աստուած օրհնեալ, օրհ-"
column_2/line_014,2,22,0.0000,0.0000,0.0000,False,False,նեալ է տէր զօրհանապազ։,նեալ է տէր զօրհանապազ։,նեալ է տէր զօրհանապազ։
column_2/line_015,2,23,0.0000,0.0000,0.0000,False,False,Օգնութիւն ինձ ՚ի տեառնէ,Օգնութիւն ինձ ՚ի տեառնէ,Օգնութիւն ինձ ՚ի տեառնէ
column_2/line_016,2,23,0.0000,0.0000,0.0000,False,False,"եկեսցէ, որ արար զերկինս","եկեսցէ, որ արար զերկինս","եկեսցէ, որ արար զերկինս"
column_2/line_017,2,10,0.0000,0.0000,0.0000,False,False,եւ զերկիր։,եւ զերկիր։,եւ զերկիր։
column_2/line_018,2,27,0.0000,0.0000,0.0000,False,False,"Համբարձի զաչս իմ ՚ի լերինս,","Համբարձի զաչս իմ ՚ի լերինս,","Համբարձի զաչս իմ ՚ի լերինս,"
column_2/line_019,2,23,0.0000,0.0000,0.0000,False,False,ուստի եկեսցէ ինձ օգնու-,ուստի եկեսցէ ինձ օգնու-,ուստի եկեսցէ ինձ օգնու-
column_2/line_020,2,5,0.0000,0.0000,0.0000,False,False,թիւն։,թիւն։,թիւն։
column_2/line_021,2,20,0.0000,0.0000,0.0000,False,False,Աստուած փառաւորեալ է,Աստուած փառաւորեալ է,Աստուած փառաւորեալ է
column_2/line_022,2,25,0.0000,0.0000,0.0000,False,False,"՚ի խորհուրդս սրբոց իւրոց,","՚ի խորհուրդս սրբոց իւրոց,","՚ի խորհուրդս սրբոց իւրոց,"
column_2/line_023,2,25,0.0000,0.0000,0.0000,False,False,մեծ և ահաւոր ՚ի վերայ այ-,մեծ և ահաւոր ՚ի վերայ այ-,մեծ և ահաւոր ՚ի վերայ այ-
column_2/line_024,2,27,0.0000,0.0000,0.0000,False,False,"նոցիկ, որք շուրջ են զնովաւ։","նոցիկ, որք շուրջ են զնովաւ։","նոցիկ, որք շուրջ են զնովաւ։"
column_2/line_025,2,22,0.0455,0.0000,-0.0455,True,False,Խոստովան եղիցին երկինք,Եոստովան եղիցին երկինք,Խոստովան եղիցին երկինք
column_2/line_026,2,23,0.0000,0.0000,0.0000,False,False,"սքանչելեաց քոց, տէր, եւ","սքանչելեաց քոց, տէր, եւ","սքանչելեաց քոց, տէր, եւ"
column_2/line_027,2,23,0.0000,0.0000,0.0000,False,False,ճշմարտութիւն քո յեկեղե-,ճշմարտութիւն քո յեկեղե-,ճշմարտութիւն քո յեկեղե-
column_2/line_028,2,10,0.0000,0.0000,0.0000,False,False,ցիս սրբոց։,ցիս սրբոց։,ցիս սրբոց։
column_2/line_029,2,25,0.0000,0.0000,0.0000,False,False,"Սիրեցից զքեզ, տէր, զօրու-","Սիրեցից զքեզ, տէր, զօրու-","Սիրեցից զքեզ, տէր, զօրու-"
column_2/line_030,2,21,0.0000,0.0000,0.0000,False,False,թիւն իմ. տէր հաստատիչ,թիւն իմ. տէր հաստատիչ,թիւն իմ. տէր հաստատիչ
column_2/line_031,2,25,0.0000,0.0000,0.0000,False,False,"իմ, ապաւէն իմ և փրկիչ իմ։","իմ, ապաւէն իմ և փրկիչ իմ։","իմ, ապաւէն իմ և փրկիչ իմ։"
column_2/line_032,2,22,0.0000,0.0000,0.0000,False,False,"Աստուած օգնական իմ, եւ","Աստուած օգնական իմ, եւ","Աստուած օգնական իմ, եւ"
column_2/line_033,2,23,0.0000,0.0000,0.0000,False,False,ես յուսամ ՚ի նա. ապաւէն,ես յուսամ ՚ի նա. ապաւէն,ես յուսամ ՚ի նա. ապաւէն
column_2/line_034,2,22,0.0000,0.0000,0.0000,False,False,իմ եղջիւր փրկութեան ի-,իմ եղջիւր փրկութեան ի-,իմ եղջիւր փրկութեան ի-
column_2/line_035,2,20,0.0000,0.0000,0.0000,False,False,մոյ՝ ընդունելի իմ է։,մոյ՝ ընդունելի իմ է։,մոյ՝ ընդունելի իմ է։
column_2/line_036,2,23,0.0000,0.0000,0.0000,False,False,Մերձ է տէր առ ամենեսեան,Մերձ է տէր առ ամենեսեան,Մերձ է տէր առ ամենեսեան
