id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
column_1/line_036,page_0499_human,1,0.0625,0.0625,16,1,0,0,False,True,զփառսն աստուծոյ։,զիառսն աստուծոյ։,զիառսն աստուծոյ։
column_1/line_009,page_0499_human,1,0.058823529411764705,0.058823529411764705,34,1,0,1,True,True,աձ. Որ համբարձաւն։ Սաղ. ՃԼ Տէր ոչ.,աձ. Որ համբարձաւն։ Սաղ. Ճձ. Տէր ոչ.,աձ. Որ համբարձաւն։ Սաղ. Ճձ. Տէր ոչ.
column_2/line_003,page_0499_human,2,0.05714285714285714,0.02857142857142857,35,1,1,0,True,True,շարական դձ. Իշխանութիւնք։ Սաղ. ՃԼԶ.,շարական դձ. Իշխանութիւնք։ Սաղ. ՃԼԶ,շարական դձ. Իշխանութիւնք։ Սաղ. ՃԱ.
column_1/line_045,page_0499_human,1,0.03125,0.03125,32,1,0,0,True,False,Չորեքշաբաթ. ահ. գկ. Երգեցէք տեա-,Օորեքշաբաթ. ահ. գկ. Երգեցէք տեա-,Օորեքշաբաթ. ահ. գկ. Երգեցէք տեա-
column_1/line_001,page_0499_human,1,0.030303030303030304,0.030303030303030304,33,1,0,0,True,False,դձ. Որք տնկակիցք և Համբարձաւ տէրն,դձ. Որք անկակիցք և Համբարձաւ տէրն,դձ. Որք անկակիցք և Համբարձաւ տէրն
column_1/line_013,page_0499_human,1,0.029411764705882353,0.029411764705882353,34,0,0,1,True,False,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13 շը-,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13. շը-,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13. շը-
column_1/line_021,page_0499_human,1,0.029411764705882353,0.029411764705882353,34,0,1,0,False,True,Համբարձաւ տէրն մեր քրիստոս։ Արձակ-,Համբարձաւ տէրն մեր քրիստոս։ Արձակ,Համբարձաւ տէրն մեր քրիստոս։ Արձակ
column_2/line_014,page_0499_human,2,0.029411764705882353,0.029411764705882353,34,1,0,0,True,True,ընտրեալք։ Մեսեդի. Աստուած մեր յեր-,ընարեալք։ Մեսեդի. Աստուած մեր յեր-,ընարեալք։ Մեսեդի. Աստուած մեր յեր-
column_2/line_045,page_0499_human,2,0.029411764705882353,0.029411764705882353,34,1,0,0,True,False,դկ. Որ ողորմութեամբ. սաղ. ՃԽԲ. Տէր,դկ. Որ ողորմութեամբ. սաղ. ՃիԲ. Տէր,դկ. Որ ողորմութեամբ. սաղ. ՃիԲ. Տէր
column_1/line_002,page_0499_human,1,0.0,0.0,33,0,0,0,True,True,մեր յերկ։ Արձակման աւետարան Մարկ.,մեր յերկ։ Արձակման աւետարան Մարկ.,մեր յերկ։ Արձակման աւետարան Մարկ.
