id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
line_058,page_0543,,0.5555555555555556,0.5555555555555556,63,4,31,0,False,True,"Իսկ Տօն Ընծայման՝ երից ամաց սուրբ
Կուսին ՚ի տաճարն աստ եդաւ, որ",Դակ Տան Շնծայման՝ երից ամաց սուր�,Դակ Տան Շնծայման՝ երից ամաց սուր
line_083,page_0543,,0.2978723404255319,0.2978723404255319,47,2,12,0,False,True,"կանոն, և այնու վարեսջիր մինչեւ ՚ի վերջ տարւոյն։","կանոն, և այնու վարեսջիր մինշ ՚ի վե�","կանոն, և այնու վարեսջիր մինշ ՚ի վե�"
line_095,page_0543,,0.2857142857142857,0.2857142857142857,42,3,9,0,False,True,լու եւ նուազի։ Վասն որոյ զՏարեգիրն կալ քեզ,լու եւ նուաղի։ ռան ոսոյ զՏարեգիրն ,լու եւ նուաղի։ ռան ոսոյ զՏարեգիրն 
line_075,page_0200,,0.18181818181818182,0.18181818181818182,22,1,0,3,True,False,լելուա. ազգէ յազգ պատ-,լըն լուիա. ազգէ յազգ պատ-,լըն լուիա. ազգէ յազգ պատ-
line_079,page_0051,,0.14285714285714285,0.14285714285714285,21,2,1,0,False,True,Տունք լը։ Գոբղայս լը։,Տունք լը։ Գօգայս լը։,Տունք լը։ Գօգայս լը։
line_043,page_0251,,0.13043478260869565,0.13043478260869565,23,2,0,1,False,False,"Ծափս հարէք, ամենայն հե-","Մակիս հարէք, ամենայն հե-","Մակիս հարէք, ամենայն հե-"
line_067,page_0559,,0.1111111111111111,0.1111111111111111,9,1,0,0,False,False,Հոկտեմբեր,հոկտեմբեր,հոկտեմբեր
line_020,page_0543,,0.09090909090909091,0.09090909090909091,33,1,1,1,True,True,"աստուած, ըստ պատշաճի աւուրն։ Սաղ.","աստւոած, ըստ պատշանի աւուրն։ Սաղ.","աստւոած, ըստ պատշանի աւուրն։ Սաղ."
line_090,page_0300,,0.08695652173913043,0.08695652173913043,23,2,0,0,False,False,քէն ըզմարմնացեալն աստը-,քէն ըղմարմնացեալն ասոը-,քէն ըղմարմնացեալն ասոը-
line_039,page_0559,,0.08333333333333333,0.08333333333333333,12,1,0,0,False,True,Ընդ կանայսն։,Ընդ կանայան։,Ընդ կանայան։
