id,column,ref_len,cer_baseline,cer_corrected,delta,applied,worse,ref,pred_beam,corrected
column_1/line_001,1,28,0.0000,0.0000,0.0000,False,False,Ալէլուք Յարութեանն Քրիստոսի։,Ալէլուք Յարութեանն Քրիստոսի։,Ալէլուք Յարութեանն Քրիստոսի։
column_1/line_002,1,24,0.0000,0.0000,0.0000,False,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_1/line_003,1,21,0.0000,0.0000,0.0000,False,False,Ողորմութեամբ տեառն լի,Ողորմութեամբ տեառն լի,Ողորմութեամբ տեառն լի
column_1/line_004,1,24,0.0000,0.0000,0.0000,False,False,"եղեւ երկիր, և բանիւ տեա-","եղեւ երկիր, և բանիւ տեա-","եղեւ երկիր, և բանիւ տեա-"
column_1/line_005,1,22,0.0000,0.0000,0.0000,False,False,ռըն երկինք հաստատեցան։,ռըն երկինք հաստատեցան։,ռըն երկինք հաստատեցան։
column_1/line_006,1,22,0.0000,0.0000,0.0000,False,False,Եւ հոգւով բերանոյ նորա,Եւ հոգւով բերանոյ նորա,Եւ հոգւով բերանոյ նորա
column_1/line_007,1,24,0.0000,0.0000,0.0000,False,False,ամենայն զօրութիւնք նոցա։,ամենայն զօրութիւնք նոցա։,ամենայն զօրութիւնք նոցա։
column_1/line_009,1,22,0.0000,0.0000,0.0000,False,False,Ալէ. Յարեաւ աստուած եւ,Ալէ. Յարեաւ աստուած եւ,Ալէ. Յարեաւ աստուած եւ
column_1/line_010,1,22,0.0000,0.0000,0.0000,False,False,ցրուեցան ամենայն թշնա-,ցրուեցան ամենայն թշնա-,ցրուեցան ամենայն թշնա-
column_1/line_011,1,23,0.0000,0.0000,0.0000,False,False,միք նորա։ Փախեան ատելիք,միք նորա։ Փախեան ատելիք,միք նորա։ Փախեան ատելիք
column_1/line_012,1,18,0.0000,0.0000,0.0000,False,False,նորա յերեսաց նորա։,նորա յերեսաց նորա։,նորա յերեսաց նորա։
column_1/line_013,1,21,0.0000,0.0000,0.0000,False,False,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ
column_1/line_014,1,23,0.0000,0.0000,0.0000,False,False,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.,եւ միշտ. Ալէլուիա. ալէ.
column_1/line_016,1,24,0.0000,0.0000,0.0000,False,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա. ալէլուիա. ալէ.
column_1/line_017,1,23,0.1304,0.0000,-0.1304,True,False,"Ծափս հարէք, ամենայն հե-","Մակիս հարէք, ամենայն հե-","Ծափս հարէք, ամենայն հե-"
column_1/line_018,1,21,0.0000,0.0000,0.0000,False,False,թանոսք. աղաղակեցէք առ,թանոսք. աղաղակեցէք առ,թանոսք. աղաղակեցէք առ
column_1/line_020,1,23,0.0000,0.0000,0.0000,False,False,աստուած ՚ի ձայն ցընծու-,աստուած ՚ի ձայն ցընծու-,աստուած ՚ի ձայն ցընծու-
column_1/line_022,1,21,0.0000,0.0000,0.0000,False,False,թեան։ Տէր բարձրեալ եւ,թեան։ Տէր բարձրեալ եւ,թեան։ Տէր բարձրեալ եւ
column_1/line_023,1,23,0.0000,0.0000,0.0000,False,False,"ահարկու, թագաւոր մեծ ՚ի","ահարկու, թագաւոր մեծ ՚ի","ահարկու, թագաւոր մեծ ՚ի"
column_1/line_024,1,20,0.0000,0.0000,0.0000,False,False,վերայ ամենայն երկրի։,վերայ ամենայն երկրի։,վերայ ամենայն երկրի։
column_1/line_025,1,22,0.0000,0.1364,0.1364,True,True,"Ալէ. Հաճեցար, տէր, ընդ","Ալէ. Հաճեցար, տէր, ընդ","Ալէ. Հաճեցար, տէր, զ"
column_1/line_026,1,22,0.0000,0.0000,0.0000,False,False,"երկիր քո, եւ դարձուցեր","երկիր քո, եւ դարձուցեր","երկիր քո, եւ դարձուցեր"
column_1/line_028,1,23,0.0000,0.0000,0.0000,False,False,զգերութիւն յակոբայ։ Թո-,զգերութիւն յակոբայ։ Թո-,զգերութիւն յակոբայ։ Թո-
column_1/line_029,1,23,0.0000,0.0000,0.0000,False,False,ղեր զանիրաւութիւն ժողո-,ղեր զանիրաւութիւն ժողո-,ղեր զանիրաւութիւն ժողո-
