id,column,ref_len,cer_baseline,cer_corrected,delta,applied,worse,ref,pred_beam,corrected
column_1/line_001,1,33,0.0303,0.0000,-0.0303,True,False,դձ. Որք տնկակիցք և Համբարձաւ տէրն,դձ. Որք անկակիցք և Համբարձաւ տէրն,դձ. Որք տնկակիցք և Համբարձաւ տէրն
column_1/line_002,1,33,0.0000,0.0000,0.0000,False,False,մեր յերկ։ Արձակման աւետարան Մարկ.,մեր յերկ։ Արձակման աւետարան Մարկ.,մեր յերկ։ Արձակման աւետարան Մարկ.
column_1/line_003,1,33,0.0000,0.0000,0.0000,False,False,ժ. 46. Եւ գան յերիքով. վ. ԺԱ. 11.,ժ. 46. Եւ գան յերիքով. վ. ԺԱ. 11.,ժ. 46. Եւ գան յերիքով. վ. ԺԱ. 11.
column_1/line_004,1,22,0.0000,0.0000,0.0000,False,False,երկոտասանիւքն հանդերձ։,երկոտասանիւքն հանդերձ։,երկոտասանիւքն հանդերձ։
column_1/line_005,1,33,0.0000,0.0000,0.0000,False,False,"Երկուշաբաթ. ահ, բկ. Փարաւոն։ Հարց","Երկուշաբաթ. ահ, բկ. Փարաւոն։ Հարց","Երկուշաբաթ. ահ, բկ. Փարաւոն։ Հարց"
column_1/line_006,1,33,0.0000,0.0000,0.0000,False,False,դկ. Որ զամենազօր։ Առաւօտու աւետա-,դկ. Որ զամենազօր։ Առաւօտու աւետա-,դկ. Որ զամենազօր։ Առաւօտու աւետա-
column_1/line_007,1,33,0.0000,0.0000,0.0000,False,False,րան Ղուկ. Ի. 1. Եւ եղեւ ՚ի միում.,րան Ղուկ. Ի. 1. Եւ եղեւ ՚ի միում.,րան Ղուկ. Ի. 1. Եւ եղեւ ՚ի միում.
column_1/line_008,1,31,0.0000,0.0000,0.0000,False,False,վ. 8. առնեմ զայս։ Ճաշու շարական,վ. 8. առնեմ զայս։ Ճաշու շարական,վ. 8. առնեմ զայս։ Ճաշու շարական
column_1/line_009,1,34,0.0588,0.0588,0.0000,False,False,աձ. Որ համբարձաւն։ Սաղ. ՃԼ Տէր ոչ.,աձ. Որ համբարձաւն։ Սաղ. Ճձ. Տէր ոչ.,աձ. Որ համբարձաւն։ Սաղ. Ճձ. Տէր ոչ.
column_1/line_010,1,33,0.0000,0.0000,0.0000,False,False,Յիշեա տէր. Զի բարի։ Գործք. ԻԴ. 1.,Յիշեա տէր. Զի բարի։ Գործք. ԻԴ. 1.,Յիշեա տէր. Զի բարի։ Գործք. ԻԴ. 1.
column_1/line_011,1,32,0.0000,0.0000,0.0000,False,False,Եւ յետ հինգ աւուրց. վ. 20. խօսէր,Եւ յետ հինգ աւուրց. վ. 20. խօսէր,Եւ յետ հինգ աւուրց. վ. 20. խօսէր
