id,source_page,loss,cer,ref_len,multiline,ref,pred
page_0559/line_026,page_0559,0.1035,0.0714,14,False,զկարգ տեղւոյս։,զկարգ տեղւոյյ։
page_0559/line_024,page_0559,0.08,0.1538,39,True,սրբոյ Խաչին։ Միջոց ուտիքն եօթն\nշաբաթ է։,"սրբոյ Խաչին։ Միջոց ուտիքն եօթն
շա�"
page_0543/line_001,page_0543,0.0315,0.431,58,True,Մետասաներորդ Կիւրակէ։ Հարց Յա-\nրութեան։ Ճաշու սաղ. ԿԴ. Քեզ,"Մետասաներորդ Կիւրակէ։ Հարց Յա-
րո�"
page_0543/line_043,page_0543,0.0083,0.0833,36,False,Նոր սիոն ծնեալ։ Զկնի՝ Սուրբ զաստուա-,Նոր սիոն ծնեալ։ Զկնի՝ Սուրբ զաստո�
page_0559/line_001,page_0559,0.0062,0.0571,35,False,Տէս յԱռաջին Հատորն մինչև ՚ի չորրորդ,Տէս յԱռաջին Հատորն մինչև ՚ի չորրո�
page_0559/line_069,page_0559,0.0035,0.0,36,False,"5. Շբ. ԲՁ. Նիկողայոսի, —— եւ Գրիգորի","5. Շբ. ԲՁ. Նիկողայոսի, —— եւ Գրիգորի"
page_0543/line_057,page_0543,0.0032,0.0,33,False,աստւոած յիշեա։ Սաղ. ՃԽԴ. Արքայու-,աստւոած յիշեա։ Սաղ. ՃԽԴ. Արքայու-
page_0543/line_033,page_0543,0.003,0.0556,36,False,"Արարչական, ըստ պատշաճին. եթէ ՚ի Կիւ-","Արարչական, ըստ պատշաճին. եթէ ՚ի Կի�"
page_0051/line_026,page_0051,0.0028,0.1282,39,False,Սաղմոս ՚ի Դաւիթ. առ ՚ի յիշատակ շաբաթու։,Սաղմոս ՚ի Դաւիթ. առ ՚ի յիշատակ շաբ�
page_0051/line_025,page_0051,0.0028,0.0,10,False,ՍԱՂՄՈՍ ԼԷ.,ՍԱՂՄՈՍ ԼԷ.
page_0300/line_055,page_0300,0.0023,0.0,33,False,"Քարոզ՝ Ծննդեան Քրիսոտոսի, եւ Աւե-","Քարոզ՝ Ծննդեան Քրիսոտոսի, եւ Աւե-"
page_0543/line_056,page_0543,0.0017,0.0294,34,False,րութեան։ Ճաշու շարական գձ. Քրիստոս,րութեան։ Ճաշու շարական գձ. Քրիստո�
page_0543/line_041,page_0543,0.0017,0.0833,36,False,մութիւնք։ Յերեկոյին Մեսե. Իջցէ որպէս,մութիւնք։ Յերեկոյին Մեսե. Իջցէ որ�
page_0543/line_042,page_0543,0.0016,0.0556,36,False,"զանձրեւ։ Քարոզ, Մայր սուրբ։ Հմբ. դձ.","զանձրեւ։ Քարոզ, Մայր սուրբ։ Հմբ. դ�"
page_0499/line_092,page_0499,0.0013,0.0,34,False,նմեմ։ Գործք. ԻԷ. 1. Իբրեւ հրամայե-,նմեմ։ Գործք. ԻԷ. 1. Իբրեւ հրամայե-
page_0543/line_052,page_0543,0.0013,0.0,34,False,"Եւ ապա պահք Յիսնակամտին, բայց տօնք","Եւ ապա պահք Յիսնակամտին, բայց տօնք"
page_0251/line_033,page_0251,0.0012,0.0,22,False,եւ միշտ. Ալէլուա. ալէ.,եւ միշտ. Ալէլուա. ալէ.
page_0543/line_004,page_0543,0.0011,0.0,32,False,Արաքեալն Փիլիպ. Դ. 8. Այսուհետեւ,Արաքեալն Փիլիպ. Դ. 8. Այսուհետեւ
page_0543/line_030,page_0543,0.0011,0.0,34,False,1 ահիւն աստուծոյ։ Ալէ. Հոգին սուրբ,1 ահիւն աստուծոյ։ Ալէ. Հոգին սուրբ
page_0559/line_053,page_0559,0.001,0.0,31,False,16. Բշ. ԴԿ. Պահք Յիսնակաց. հարց,16. Բշ. ԴԿ. Պահք Յիսնակաց. հարց
page_0559/line_028,page_0559,0.001,0.0,33,False,11. Կիր. ԲԿ. հինգերորդ։ համբ. բկ.,11. Կիր. ԲԿ. հինգերորդ։ համբ. բկ.
page_0451/line_013,page_0451,0.0008,0.0,24,False,եւ թշնամեաց իմոց եւ ատե-,եւ թշնամեաց իմոց եւ ատե-
