id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
line_001,page_0451,,1.0,1.0,25,0,25,0,False,True,՚ի չարեացն զոր ունին վասն,,
line_003,page_0300,,1.0,1.0,23,0,23,0,False,False,վերայ հիման առաքելոց եւ,,
line_006,page_0200,,1.0,1.0,23,0,23,0,False,False,Օրհնեալ տէր աստուած իս-,,
line_011,page_0251,,1.0,1.0,23,0,23,0,False,False,"վրդեան քոյ, եւ ծածկեցեր",,
line_015,page_0251,,1.0,1.0,22,0,22,0,False,False,ցրուեցան ամենայն թշնա-,,
line_016,page_0499,,1.0,1.0,35,0,35,0,True,True,շարական դձ. Իշխանութիւնք։ Սաղ. ՃԼԶ.,,
line_019,page_0559,,1.0,1.0,26,0,26,0,True,True,Յիսնակաց պահոցն։ Համբ. դձ.,,
line_022,page_0543,,1.0,1.0,33,0,33,0,True,True,նեայ։ Ալէ. Երգեցէք տեառն երգ նոր։,,
line_025,page_0543,,1.0,1.0,34,0,34,0,True,False,բ. Կորն. Զ. 16. Ապաքէն դուք. վ. Է.,,
line_026,page_0451,,1.0,1.0,23,0,23,0,False,False,կըրպագութիւն անբաժանելի,,
line_027,page_0451,,1.0,1.0,25,0,25,0,False,False,"կուսանաց, և ամենայն սրբոց",,
line_028,page_0300,,1.0,1.0,23,0,23,0,True,False,կաւոր պիտոյից մերոց. ա-,,
line_029,page_0451,,1.0,1.0,21,0,21,0,True,True,արքայութիւնդ. և ողոր։,,
line_031,page_0335,,1.0,1.0,15,0,15,0,False,True,առ քեզ դարձցին։,,
line_040,page_0251,,1.0,1.0,22,0,22,0,True,False,Ալէ. Յարեաւ աստուած եւ,,
line_042,page_0451,,1.0,1.0,13,0,13,0,False,True,եւ կեցո զմեզ։,,
line_044,page_0051,,1.0,1.0,11,0,11,0,False,True,տաց կորիցէ։,,
line_048,page_0451,,1.0,1.0,22,0,22,0,False,False,"Ամենողորմ տէր, ողորմեա",,
line_049,page_0200,,1.0,1.0,26,0,26,0,False,False,Խոստովան եղիցին երկինք ըս-,,
line_052,page_0499,,1.0,1.0,34,0,34,0,True,True,ընտրեալք։ Մեսեդի. Աստուած մեր յեր-,,
line_054,page_0451,,1.0,1.0,22,0,22,0,False,True,ամենայն հաւատացելոց ՚ի,,
line_055,page_0200,,1.0,1.0,25,0,25,0,False,False,զուր ինչ ստեղծեր զամենայն,,
line_056,page_0051,,1.0,1.0,24,0,24,0,False,False,"ցէ զնոսա, ապրեցուսցէ ըզ-",,
line_059,page_0451,,1.0,1.0,24,0,24,0,False,False,"տէր, ընկալ զաղաչանս մեր,",,
line_061,page_0200,,1.0,1.0,22,0,22,0,False,False,Եղիցի հաստատութիւն ընդ,,
line_071,page_0251,,1.0,1.0,24,0,24,0,True,False,Ալէլուիա. ալէլուիա. ալէ.,,
line_075,page_0200,,1.0,1.0,22,0,22,0,True,False,լելուա. ազգէ յազգ պատ-,,
line_076,page_0451,,1.0,1.0,22,0,22,0,False,False,րեա քաւեա եւ թող զմեղս,,
line_081,page_0335,,1.0,1.0,23,0,23,0,False,False,զհոգի խոնարհ աստուած ոչ,,
line_084,page_0300,,1.0,1.0,23,0,23,0,False,False,Աղաչանօք սրբոց մարտիրո-,,
line_085,page_0300,,1.0,1.0,23,0,23,0,True,True,զուարճալի ըզբոյս. առ ՚ի,,
line_087,page_0451,,1.0,1.0,21,0,21,0,False,True,զարարծս իւր։ Ամենակալ,,
line_091,page_0451,,1.0,1.0,24,0,24,0,True,True,ւիտեանս յաւիտենից. ամէն։,,
line_094,page_0051,,1.0,1.0,23,0,23,0,False,True,նոցա ՚ի ժամանակս նեղու-,,
line_095,page_0543,,1.0,1.0,42,0,42,0,False,True,լու եւ նուազի։ Վասն որոյ զՏարեգիրն կալ քեզ,,
line_099,page_0300,,1.0,1.0,25,0,25,0,True,False,շարժ ըզխաղաղութիւն. և պա-,,
line_100,page_0051,,1.0,1.0,23,0,23,0,False,False,"տես զուղղութիւն, զի գոն",,
line_058,page_0543,,0.5714285714285714,0.5714285714285714,63,2,34,0,False,True,"Իսկ Տօն Ընծայման՝ երից ամաց սուրբ
Կուսին ՚ի տաճարն աստ եդաւ, որ","Ի Կուսին ի տաճարն ամտ եղաւ, ո","Ի Կուսին ի տաճարն ամտ եղաւ, ո"
line_073,page_0559,,0.5,0.5,8,2,0,2,False,True,նոխակալ։,Ն ոխակալ 2,Ն ոխակալ 2
line_060,page_0499,,0.45161290322580644,0.45161290322580644,31,7,0,7,True,True,վ. 8. առնեմ զայս։ Ճաշու շարական,"վ "" 8 6 առնեմ զայս 2 Ճաչ 7011- չարական","վ "" 8 6 առնեմ զայս 2 Ճաչ 7011- չարական"
line_089,page_0499,,0.42424242424242425,0.42424242424242425,33,6,0,8,True,False,դձ. Որք տնկակիցք և Համբարձաւ տէրն,դ3 9 Որք անկա կիցք և Հ 111 մբարձ Ա1և տէրն,դ3 9 Որք անկա կիցք և Հ 111 մբարձ Ա1և տէրն
line_007,page_0451,,0.375,0.375,8,1,0,2,False,True,Մաղթանք։,Մ աղթանք 2,Մ աղթանք 2
line_013,page_0300,,0.2727272727272727,0.2727272727272727,22,2,0,4,True,True,բանն աստըւած. աղաչեմք։,բանն աստըւ ած 5 աղաչե՛մք 2,բանն աստըւ ած 5 աղաչե՛մք 2
line_038,page_0543,,0.2571428571428571,0.2571428571428571,35,4,1,4,True,True,ձեզ։ Ալէ. ՚ի ձայնէն։ Աւետարան Ղուկ.,ձեզ 3 Սլէ . ի ձայնէն 2 Աւետարան Ղուկ 3,ձեզ 3 Սլէ . ի ձայնէն 2 Աւետարան Ղուկ 3
line_070,page_0559,,0.25,0.25,28,4,0,3,True,True,Անճառելի բնութիւն։ Համբ. աձ.,Անճառելի բնութիւն 2 Համբ 3 ած 3,Անճառելի բնութիւն 2 Համբ 3 ած 3
line_057,page_0559,,0.23529411764705882,0.23529411764705882,17,1,1,2,False,True,Աստտուած օրհնեալ։,ՍԱստուած օրհնեալ 2,ՍԱստուած օրհնեալ 2
line_096,page_0543,,0.21875,0.21875,32,2,0,5,True,True,խոստովանեալ։ Շարական գկ. Ծառ կե-,խոստովանեա լ։ Շ տարական գ . # ատռ կե-,խոստովանեա լ։ Շ տարական գ . # ատռ կե-
line_045,page_0335,,0.21052631578947367,0.21052631578947367,19,1,0,3,False,False,յորժամ ուխտից պատա-,յորժամ Ու- խ տից պատա-,յորժամ Ու- խ տից պատա-
line_014,page_0200,,0.20833333333333334,0.20833333333333334,24,3,0,2,False,False,"րա, եւ զաթոռ նորա յերկիր",ըա 9 եւ- ղաթոռ նորա յերկիր,ըա 9 եւ- ղաթոռ նորա յերկիր
line_037,page_0543,,0.20588235294117646,0.20588235294117646,34,4,0,3,True,True,"րոզ, Սուրբ զաստուածածինն. Կեցո։ Ա-",րող # Սուրբ զաստուածածինն 4 Կեցո 2 Ա-,րող # Սուրբ զաստուածածինն 4 Կեցո 2 Ա-
line_090,page_0300,,0.17391304347826086,0.17391304347826086,23,3,0,1,False,False,քէն ըզմարմնացեալն աստը-,քէ՜ն ըղմարմնացեալն ատտր-,քէ՜ն ըղմարմնացեալն ատտր-
line_039,page_0559,,0.16666666666666666,0.16666666666666666,12,1,0,1,False,True,Ընդ կանայսն։,Ընդ կանայսն 2,Ընդ կանայսն 2
line_093,page_0200,,0.16666666666666666,0.16666666666666666,24,3,1,0,False,False,Անարգեցեր զսրբութիւն նո-,Անարդեցեր զպբութիւն Նո-,Անարդեցեր զպբութիւն Նո-
line_041,page_0559,,0.15384615384615385,0.15384615384615385,26,2,0,2,False,True,"նորոց, յայտից եւ անյայտից։",նորոց 8 յայտից եւ անյայտից 2,նորոց 8 յայտից եւ անյայտից 2
line_080,page_0499,,0.15384615384615385,0.15384615384615385,13,1,0,1,False,True,հարցանել ցնա։,հարցանել ցնա 3,հարցանել ցնա 3
line_063,page_0499,,0.14705882352941177,0.14705882352941177,34,3,1,1,True,True,աձ. Որ համբարձաւն։ Սաղ. ՃԼ Տէր ոչ.,ած . Որ համբարձաւն։ Սաղ ## Տէր ոչ.,ած . Որ համբարձաւն։ Սաղ ## Տէր ոչ.
line_021,page_0200,,0.14285714285714285,0.14285714285714285,14,1,0,1,False,True,որդիս մարդկան։,որդիս մարդկան 4,որդիս մարդկան 4
line_092,page_0300,,0.13333333333333333,0.13333333333333333,30,3,1,0,False,True,"և այլն, տես ՚ի վերայ երես 295։","և այն, տես 'ի վերոյ երէս 295։","և այն, տես 'ի վերոյ երէս 295։"
line_018,page_0300,,0.13043478260869565,0.13043478260869565,23,2,0,1,False,False,"սացըն, տէր, որք ճգնեցան","սացըն 3 տէր, որք Ճգնեցան","սացըն 3 տէր, որք Ճգնեցան"
line_082,page_0200,,0.13043478260869565,0.13043478260869565,23,0,0,3,False,False,Իսկ արդ յիշեա եւ տես թէ,Իսկ աարդ յիշեա եւ- տես՝ թէ,Իսկ աարդ յիշեա եւ- տես՝ թէ
line_032,page_0251,,0.125,0.125,24,1,0,2,True,False,Ալէլուիա. ալէլուիա. ալէ.,Ալէլուիա 8 ալէլուիա-. ալէ.,Ալէլուիա 8 ալէլուիա-. ալէ.
line_072,page_0499,,0.125,0.125,16,1,0,1,False,True,զփառսն աստուծոյ։,զփառսն աստուծոյ 2,զփառսն աստուծոյ 2
line_065,page_0543,,0.12121212121212122,0.12121212121212122,33,2,0,2,True,False,Մարգարէ Զաքար. Բ. 10. Խնդա եւ ու-,"Մարգարէ Զաքար "" Բ. 10 օ Խնդա եւ ու-","Մարգարէ Զաքար "" Բ. 10 օ Խնդա եւ ու-"
line_066,page_0543,,0.12121212121212122,0.12121212121212122,33,1,2,1,True,True,րութեան ՚ի ձայնէն։ Աւետարան Ղուկ.,րութեան ի ձայնէն 4 Աւետարան Ղուկ,րութեան ի ձայնէն 4 Աւետարան Ղուկ
line_074,page_0543,,0.12121212121212122,0.12121212121212122,33,2,1,1,True,True,Ճաշու սաղ. Ե. Երկիրպագից ՚ի տաճար,Ճաչու սաղ. Ե 5 Երկիրպագից ի տաճար,Ճաչու սաղ. Ե 5 Երկիրպագից ի տաճար
line_034,page_0543,,0.1111111111111111,0.1111111111111111,36,1,0,3,True,False,րան Ղուկ. ԺԱ. 33. Ոչ ուրուք լուցեալ.,րան Ղուկ. ԺԱ. 3 33 5 Ոչ ուրուք լուցեալ.,րան Ղուկ. ԺԱ. 3 33 5 Ոչ ուրուք լուցեալ.
line_083,page_0543,,0.10638297872340426,0.10638297872340426,47,2,2,1,False,True,"կանոն, և այնու վարեսջիր մինչեւ ՚ի վերջ տարւոյն։",կանոն և այնու վարեսջիր մինշեւ ի վերջ տարւոյն 5,կանոն և այնու վարեսջիր մինշեւ ի վերջ տարւոյն 5
line_051,page_0051,,0.1,0.1,10,0,1,0,False,True,ցան ՚ի նա։,ցան ի նա։,ցան ի նա։
line_004,page_0499,,0.08823529411764706,0.08823529411764706,34,2,0,1,True,False,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13 շը-,"բ. Յովհ. Ա. 1. Յերիցուէ, վ. 13. չը-","բ. Յովհ. Ա. 1. Յերիցուէ, վ. 13. չը-"
line_005,page_0251,,0.08695652173913043,0.08695652173913043,23,0,1,1,False,True,աստուած ՚ի ձայն ցընծու-,աստուած ի ձայն ցը նծու-,աստուած ի ձայն ցը նծու-
line_069,page_0200,,0.08695652173913043,0.08695652173913043,23,1,0,1,False,False,Ասացեր թէ աշխարհս ողոր-,Ասացեր թէ աշխարհս ուլոր-,Ասացեր թէ աշխարհս ուլոր-
line_046,page_0559,,0.07692307692307693,0.07692307692307693,26,1,1,0,True,True,գերեզման. և Եկին ՚ի գերեզ-,գերեզման. և Եկին ի դերեզ-,գերեզման. և Եկին ի դերեզ-
line_078,page_0559,,0.06896551724137931,0.06896551724137931,29,1,0,1,True,True,եւայլն։ Հարց ակ. Որ բարձրեալ։,եւայլն։ Հարց ակ. Որ բարձրեալ 7,եւայլն։ Հարց ակ. Որ բարձրեալ 7
