id,source_page,column,cer,cer_greedy,ref_len,n_sub,n_del,n_ins,has_numeral,has_abbrev_mark,ref,pred_greedy,pred_beam
line_058,page_0543,,0.6984126984126984,0.6984126984126984,63,6,38,0,False,True,"Իսկ Տօն Ընծայման՝ երից ամաց սուրբ
Կուսին ՚ի տաճարն աստ եդաւ, որ",Իո էնցարքան երից ամաց սռր,Իո էնցարքան երից ամաց սռր
line_067,page_0559,,0.3333333333333333,0.3333333333333333,9,1,0,2,False,False,Հոկտեմբեր,ՀՀՀոկտեմբե։,ՀՀՀոկտեմբե։
line_057,page_0559,,0.23529411764705882,0.23529411764705882,17,1,1,2,False,True,Աստտուած օրհնեալ։,ՄՍաստուած օրհնեալ։,ՄՍաստուած օրհնեալ։
line_092,page_0300,,0.2,0.2,30,4,2,0,False,True,"և այլն, տես ՚ի վերայ երես 295։","ևաայը, տես ի վելոյ երես 295։","ևաայը, տես ի վելոյ երես 295։"
line_019,page_0559,,0.19230769230769232,0.19230769230769232,26,2,0,3,True,True,Յիսնակաց պահոցն։ Համբ. դձ.,ՅՅՅՅիսնակաց պահոցն։ Համբ. գՅ.,ՅՅՅՅիսնակաց պահոցն։ Համբ. գՅ.
line_075,page_0200,,0.18181818181818182,0.18181818181818182,22,1,0,3,True,False,լելուա. ազգէ յազգ պատ-,լէ՞՞լուիա. ազգէ յազգ պատ-,լէ՞՞լուիա. ազգէ յազգ պատ-
line_050,page_0451,,0.16666666666666666,0.16666666666666666,6,1,0,0,False,True,Աղօթք։,Աղօթք՝,Աղօթք՝
line_080,page_0499,,0.15384615384615385,0.15384615384615385,13,1,0,1,False,True,հարցանել ցնա։,ոաորցանել ցնա։,ոաորցանել ցնա։
line_007,page_0451,,0.125,0.125,8,0,0,1,False,True,Մաղթանք։,ՄՄաղթանք։,ՄՄաղթանք։
line_072,page_0499,,0.125,0.125,16,0,0,2,False,True,զփառսն աստուծոյ։,զզափառսն աստուծոյ։,զզափառսն աստուծոյ։
line_051,page_0051,,0.1,0.1,10,0,1,0,False,True,ցան ՚ի նա։,ցան ի նա։,ցան ի նա։
line_079,page_0051,,0.09523809523809523,0.09523809523809523,21,0,0,2,False,True,Տունք լը։ Գոբղայս լը։,ՏՏՏունք լը։ Գոբղայս լը։,ՏՏՏունք լը։ Գոբղայս լը։
line_063,page_0499,,0.08823529411764706,0.08823529411764706,34,3,0,0,True,True,աձ. Որ համբարձաւն։ Սաղ. ՃԼ Տէր ոչ.,ա). Որ համբարձաւն։ Սաղ. ## Տէր ոչ.,ա). Որ համբարձաւն։ Սաղ. ## Տէր ոչ.
line_082,page_0200,,0.08695652173913043,0.08695652173913043,23,0,0,2,False,False,Իսկ արդ յիշեա եւ տես թէ,Իսկ արդ յիշեատ եւ տես՝ թէ,Իսկ արդ յիշեատ եւ տես՝ թէ
line_085,page_0300,,0.08695652173913043,0.08695652173913043,23,1,0,1,True,True,զուարճալի ըզբոյս. առ ՚ի,զուարճալի՞ ըզբոյս. առ 'ի,զուարճալի՞ ըզբոյս. առ 'ի
line_090,page_0300,,0.08695652173913043,0.08695652173913043,23,1,0,1,False,False,քէն ըզմարմնացեալն աստը-,քէ՛ն ըղմարմնացեալն աստը-,քէ՛ն ըղմարմնացեալն աստը-
line_033,page_0451,,0.08,0.08,25,2,0,0,False,False,"վկային, եւ սրբոյն գրիգորի","վկային, եւ որբոյն դրիգորի","վկային, եւ որբոյն դրիգորի"
line_042,page_0451,,0.07692307692307693,0.07692307692307693,13,0,0,1,False,True,եւ կեցո զմեզ։,եեւ կեցո զմեզ։,եեւ կեցո զմեզ։
line_046,page_0559,,0.07692307692307693,0.07692307692307693,26,1,1,0,True,True,գերեզման. և Եկին ՚ի գերեզ-,գերեղման. և Եկին ի գերեզ-,գերեղման. և Եկին ի գերեզ-
line_070,page_0559,,0.07142857142857142,0.07142857142857142,28,2,0,0,True,True,Անճառելի բնութիւն։ Համբ. աձ.,Անճոռելի բնութիւն։ Համբ. ած.,Անճոռելի բնութիւն։ Համբ. ած.
line_060,page_0499,,0.06451612903225806,0.06451612903225806,31,2,0,0,True,True,վ. 8. առնեմ զայս։ Ճաշու շարական,վ. 8. առնեմ զայս։ Ճաչու չարական,վ. 8. առնեմ զայս։ Ճաչու չարական
line_089,page_0499,,0.06060606060606061,0.06060606060606061,33,2,0,0,True,False,դձ. Որք տնկակիցք և Համբարձաւ տէրն,դ). Որք անկակիցք և Համբարձաւ տէրն,դ). Որք անկակիցք և Համբարձաւ տէրն
line_004,page_0499,,0.058823529411764705,0.058823529411764705,34,1,0,1,True,False,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13 շը-,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13. չը-,բ. Յովհ. Ա. 1. Յերիցուէ. վ. 13. չը-
line_052,page_0499,,0.058823529411764705,0.058823529411764705,34,2,0,0,True,True,ընտրեալք։ Մեսեդի. Աստուած մեր յեր-,ընարեալք։ Մեսեղի. Աստուած մեր յեր-,ընարեալք։ Մեսեղի. Աստուած մեր յեր-
line_038,page_0543,,0.05714285714285714,0.05714285714285714,35,1,1,0,True,True,ձեզ։ Ալէ. ՚ի ձայնէն։ Աւետարան Ղուկ.,ձեզ։ Սլէ. ի ձայնէն։ Աւետարան Ղուկ.,ձեզ։ Սլէ. ի ձայնէն։ Աւետարան Ղուկ.
line_087,page_0451,,0.047619047619047616,0.047619047619047616,21,0,0,1,False,True,զարարծս իւր։ Ամենակալ,զարարածս իւր։ Ամենակալ,զարարածս իւր։ Ամենակալ
line_054,page_0451,,0.045454545454545456,0.045454545454545456,22,0,1,0,False,True,ամենայն հաւատացելոց ՚ի,ամենայն հաւատացելոց ի,ամենայն հաւատացելոց ի
line_076,page_0451,,0.045454545454545456,0.045454545454545456,22,0,0,1,False,False,րեա քաւեա եւ թող զմեղս,րեա քաւետա եւ թող զմեղս,րեա քաւետա եւ թող զմեղս
line_005,page_0251,,0.043478260869565216,0.043478260869565216,23,0,1,0,False,True,աստուած ՚ի ձայն ցընծու-,աստուած ի ձայն ցընծու-,աստուած ի ձայն ցընծու-
line_011,page_0251,,0.043478260869565216,0.043478260869565216,23,0,0,1,False,False,"վրդեան քոյ, եւ ծածկեցեր","վըրդեան քոյ, եւ ծածկեցեր","վըրդեան քոյ, եւ ծածկեցեր"
line_062,page_0251,,0.043478260869565216,0.043478260869565216,23,0,0,1,False,False,ղեր զանիրաւութիւն ժողո-,ղե՛ր զանիրաւութիւն ժողո-,ղե՛ր զանիրաւութիւն ժողո-
line_094,page_0051,,0.043478260869565216,0.043478260869565216,23,1,0,0,False,True,նոցա ՚ի ժամանակս նեղու-,նոցա 'ի ժամանակս նեղու-,նոցա 'ի ժամանակս նեղու-
line_083,page_0543,,0.0425531914893617,0.0425531914893617,47,1,1,0,False,True,"կանոն, և այնու վարեսջիր մինչեւ ՚ի վերջ տարւոյն։","կանոն, և այնու վարեսջիր մինշեւ ի վերջ տարւոյն։","կանոն, և այնու վարեսջիր մինշեւ ի վերջ տարւոյն։"
line_014,page_0200,,0.041666666666666664,0.041666666666666664,24,0,0,1,False,False,"րա, եւ զաթոռ նորա յերկիր","րա, եւ զղաթոռ նորա յերկիր","րա, եւ զղաթոռ նորա յերկիր"
line_056,page_0051,,0.041666666666666664,0.041666666666666664,24,1,0,0,False,False,"ցէ զնոսա, ապրեցուսցէ ըզ-","ցէ զնոսա, ապրեցուացէ ըզ-","ցէ զնոսա, ապրեցուացէ ըզ-"
line_093,page_0200,,0.041666666666666664,0.041666666666666664,24,1,0,0,False,False,Անարգեցեր զսրբութիւն նո-,Անարդեցեր զսրբութիւն նո-,Անարդեցեր զսրբութիւն նո-
line_098,page_0051,,0.041666666666666664,0.041666666666666664,24,1,0,0,False,True,բժշկութիւն մարմնոյ իմոյ։,բժչկութիւն մարմնոյ իմոյ։,բժչկութիւն մարմնոյ իմոյ։
line_001,page_0451,,0.04,0.04,25,0,1,0,False,True,՚ի չարեացն զոր ունին վասն,ի չարեացն զոր ունին վասն,ի չարեացն զոր ունին վասն
line_023,page_0300,,0.038461538461538464,0.038461538461538464,26,1,0,0,True,False,ժողովելոցս. եւ շնորհեա մե-,ժողովելոցս. եւ շնորհեա ժե-,ժողովելոցս. եւ շնորհեա ժե-
line_078,page_0559,,0.034482758620689655,0.034482758620689655,29,0,0,1,True,True,եւայլն։ Հարց ակ. Որ բարձրեալ։,եեւայլն։ Հարց ակ. Որ բարձրեալ։,եեւայլն։ Հարց ակ. Որ բարձրեալ։
line_088,page_0559,,0.03333333333333333,0.03333333333333333,30,1,0,0,True,False,9. Դշ. ԴՁ. Պահոց. Տօն Յղութեան,9. Դշ. ԴՉ. Պահոց. Տօն Յղութեան,9. Դշ. ԴՉ. Պահոց. Տօն Յղութեան
line_066,page_0543,,0.030303030303030304,0.030303030303030304,33,0,1,0,True,True,րութեան ՚ի ձայնէն։ Աւետարան Ղուկ.,րութեան ի ձայնէն։ Աւետարան Ղուկ.,րութեան ի ձայնէն։ Աւետարան Ղուկ.
line_074,page_0543,,0.030303030303030304,0.030303030303030304,33,0,1,0,True,True,Ճաշու սաղ. Ե. Երկիրպագից ՚ի տաճար,Ճաշու սաղ. Ե. Երկիրպագից ի տաճար,Ճաշու սաղ. Ե. Երկիրպագից ի տաճար
line_010,page_0559,,0.029411764705882353,0.029411764705882353,34,1,0,0,True,False,21. Շբ. ԳՁ. Տօն Ընծայման սուրբ Աս-,21. Շբ. ԳԶ. Տօն Ընծայման սուրբ Աս-,21. Շբ. ԳԶ. Տօն Ընծայման սուրբ Աս-
line_025,page_0543,,0.029411764705882353,0.029411764705882353,34,0,1,0,True,False,բ. Կորն. Զ. 16. Ապաքէն դուք. վ. Է.,բ. Կորն. Զ. 16 Ապաքէն դուք. վ. Է.,բ. Կորն. Զ. 16 Ապաքէն դուք. վ. Է.
line_053,page_0499,,0.029411764705882353,0.029411764705882353,34,0,1,0,True,False,րան Ղուկ. Ի. 9. Սկսաւ ասել. վ. 19.,րան Ղուկ Ի. 9. Սկսաւ ասել. վ. 19.,րան Ղուկ Ի. 9. Սկսաւ ասել. վ. 19.
line_016,page_0499,,0.02857142857142857,0.02857142857142857,35,1,0,0,True,True,շարական դձ. Իշխանութիւնք։ Սաղ. ՃԼԶ.,շարական դ). Իշխանութիւնք։ Սաղ. ՃԼԶ.,շարական դ). Իշխանութիւնք։ Սաղ. ՃԼԶ.
line_095,page_0543,,0.023809523809523808,0.023809523809523808,42,1,0,0,False,True,լու եւ նուազի։ Վասն որոյ զՏարեգիրն կալ քեզ,լու եւ նուաղի։ Վասն որոյ զՏարեգիրն կալ քեզ,լու եւ նուաղի։ Վասն որոյ զՏարեգիրն կալ քեզ
line_002,page_0300,,0.0,0.0,25,0,0,0,False,False,լցումն լինիլ ամենայն հար-,լցումն լինիլ ամենայն հար-,լցումն լինիլ ամենայն հար-
line_003,page_0300,,0.0,0.0,23,0,0,0,False,False,վերայ հիման առաքելոց եւ,վերայ հիման առաքելոց եւ,վերայ հիման առաքելոց եւ
line_006,page_0200,,0.0,0.0,23,0,0,0,False,False,Օրհնեալ տէր աստուած իս-,Օրհնեալ տէր աստուած իս-,Օրհնեալ տէր աստուած իս-
line_008,page_0543,,0.0,0.0,33,0,0,0,True,False,Աւետարան Ղուկ. ԺԱ. 27. Եւ մինչդեռ,Աւետարան Ղուկ. ԺԱ. 27. Եւ մինչդեռ,Աւետարան Ղուկ. ԺԱ. 27. Եւ մինչդեռ
line_009,page_0543,,0.0,0.0,34,0,0,0,False,True,րակէի հանդիպիցի՝ Նորաստեղծեալ։ Քա-,րակէի հանդիպիցի՝ Նորաստեղծեալ։ Քա-,րակէի հանդիպիցի՝ Նորաստեղծեալ։ Քա-
